# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
AN,1975,0.500
AN,1990,0.500
AN,2005,0.500
AN,2010,0.270
AN,2015,0.266
AN,2020,0.256
AN,2025,0.255
AN,2030,0.269
AN,2035,0.276
AN,2040,0.278
AN,2045,0.263
AN,2050,0.241
AN,2055,0.208
AN,2060,0.182
AN,2065,0.160
AN,2070,0.143
AN,2075,0.131
AN,2080,0.121
AN,2085,0.110
AN,2090,0.099
AN,2095,0.088
AN,2100,0.078
AP,1975,0.500
AP,1990,0.500
AP,2005,0.500
AP,2010,0.420
AP,2015,0.436
AP,2020,0.421
AP,2025,0.421
AP,2030,0.441
AP,2035,0.460
AP,2040,0.483
AP,2045,0.507
AP,2050,0.531
AP,2055,0.543
AP,2060,0.517
AP,2065,0.486
AP,2070,0.458
AP,2075,0.435
AP,2080,0.410
AP,2085,0.381
AP,2090,0.349
AP,2095,0.314
AP,2100,0.282
AR,1975,0.500
AR,1990,0.500
AR,2005,0.500
AR,2010,0.330
AR,2015,0.327
AR,2020,0.339
AR,2025,0.364
AR,2030,0.399
AR,2035,0.430
AR,2040,0.462
AR,2045,0.483
AR,2050,0.476
AR,2055,0.463
AR,2060,0.451
AR,2065,0.431
AR,2070,0.412
AR,2075,0.391
AR,2080,0.374
AR,2085,0.352
AR,2090,0.324
AR,2095,0.294
AR,2100,0.265
AS,1975,0.500
AS,1990,0.500
AS,2005,0.500
AS,2010,0.390
AS,2015,0.413
AS,2020,0.388
AS,2025,0.377
AS,2030,0.400
AS,2035,0.462
AS,2040,0.553
AS,2045,0.652
AS,2050,0.752
AS,2055,0.834
AS,2060,0.898
AS,2065,0.916
AS,2070,0.904
AS,2075,0.860
AS,2080,0.809
AS,2085,0.753
AS,2090,0.688
AS,2095,0.620
AS,2100,0.556
BR,1975,0.500
BR,1990,0.500
BR,2005,0.500
BR,2010,0.330
BR,2015,0.302
BR,2020,0.338
BR,2025,0.392
BR,2030,0.461
BR,2035,0.538
BR,2040,0.631
BR,2045,0.738
BR,2050,0.867
BR,2055,0.980
BR,2060,1.065
BR,2065,1.080
BR,2070,1.079
BR,2075,1.026
BR,2080,0.966
BR,2085,0.898
BR,2090,0.822
BR,2095,0.740
BR,2100,0.663
CG,1975,0.500
CG,1990,0.500
CG,2005,0.500
CG,2010,0.420
CG,2015,0.451
CG,2020,0.435
CG,2025,0.435
CG,2030,0.454
CG,2035,0.476
CG,2040,0.511
CG,2045,0.563
CG,2050,0.622
CG,2055,0.674
CG,2060,0.709
CG,2065,0.696
CG,2070,0.665
CG,2075,0.632
CG,2080,0.596
CG,2085,0.554
CG,2090,0.507
CG,2095,0.456
CG,2100,0.409
CH,1975,0.500
CH,1990,0.500
CH,2005,0.500
CH,2010,0.250
CH,2015,0.246
CH,2020,0.237
CH,2025,0.236
CH,2030,0.249
CH,2035,0.255
CH,2040,0.258
CH,2045,0.243
CH,2050,0.223
CH,2055,0.193
CH,2060,0.169
CH,2065,0.148
CH,2070,0.132
CH,2075,0.121
CH,2080,0.112
CH,2085,0.102
CH,2090,0.092
CH,2095,0.082
CH,2100,0.072
DD,1975,0.500
DD,1990,0.500
DD,2005,0.500
DD,2010,0.080
DD,2015,0.079
DD,2020,0.076
DD,2025,0.076
DD,2030,0.080
DD,2035,0.082
DD,2040,0.082
DD,2045,0.078
DD,2050,0.071
DD,2055,0.062
DD,2060,0.054
DD,2065,0.047
DD,2070,0.042
DD,2075,0.039
DD,2080,0.036
DD,2085,0.033
DD,2090,0.029
DD,2095,0.026
DD,2100,0.023
DL,1975,0.500
DL,1990,0.500
DL,2005,0.500
DL,2010,0.220
DL,2015,0.217
DL,2020,0.208
DL,2025,0.208
DL,2030,0.220
DL,2035,0.225
DL,2040,0.227
DL,2045,0.214
DL,2050,0.196
DL,2055,0.170
DL,2060,0.148
DL,2065,0.131
DL,2070,0.117
DL,2075,0.107
DL,2080,0.098
DL,2085,0.090
DL,2090,0.081
DL,2095,0.072
DL,2100,0.063
DN,1975,0.500
DN,1990,0.500
DN,2005,0.500
DN,2010,0.070
DN,2015,0.069
DN,2020,0.066
DN,2025,0.066
DN,2030,0.070
DN,2035,0.071
DN,2040,0.072
DN,2045,0.068
DN,2050,0.063
DN,2055,0.054
DN,2060,0.047
DN,2065,0.042
DN,2070,0.037
DN,2075,0.034
DN,2080,0.031
DN,2085,0.029
DN,2090,0.026
DN,2095,0.023
DN,2100,0.020
GA,1975,0.500
GA,1990,0.500
GA,2005,0.500
GA,2010,0.440
GA,2015,0.328
GA,2020,0.371
GA,2025,0.436
GA,2030,0.477
GA,2035,0.437
GA,2040,0.390
GA,2045,0.344
GA,2050,0.303
GA,2055,0.273
GA,2060,0.240
GA,2065,0.211
GA,2070,0.188
GA,2075,0.172
GA,2080,0.159
GA,2085,0.145
GA,2090,0.131
GA,2095,0.116
GA,2100,0.102
GJ,1975,0.500
GJ,1990,0.500
GJ,2005,0.500
GJ,2010,0.320
GJ,2015,0.310
GJ,2020,0.309
GJ,2025,0.320
GJ,2030,0.342
GJ,2035,0.364
GJ,2040,0.380
GJ,2045,0.383
GJ,2050,0.374
GJ,2055,0.352
GJ,2060,0.329
GJ,2065,0.305
GJ,2070,0.285
GJ,2075,0.271
GJ,2080,0.255
GJ,2085,0.237
GJ,2090,0.217
GJ,2095,0.195
GJ,2100,0.175
HP,1975,0.500
HP,1990,0.500
HP,2005,0.500
HP,2010,0.420
HP,2015,0.468
HP,2020,0.450
HP,2025,0.448
HP,2030,0.467
HP,2035,0.485
HP,2040,0.501
HP,2045,0.519
HP,2050,0.539
HP,2055,0.524
HP,2060,0.498
HP,2065,0.463
HP,2070,0.433
HP,2075,0.412
HP,2080,0.388
HP,2085,0.361
HP,2090,0.330
HP,2095,0.297
HP,2100,0.266
HR,1975,0.500
HR,1990,0.500
HR,2005,0.500
HR,2010,0.310
HR,2015,0.289
HR,2020,0.278
HR,2025,0.278
HR,2030,0.281
HR,2035,0.283
HR,2040,0.286
HR,2045,0.289
HR,2050,0.295
HR,2055,0.284
HR,2060,0.266
HR,2065,0.247
HR,2070,0.231
HR,2075,0.219
HR,2080,0.207
HR,2085,0.192
HR,2090,0.176
HR,2095,0.158
HR,2100,0.142
JH,1975,0.500
JH,1990,0.500
JH,2005,0.500
JH,2010,0.370
JH,2015,0.428
JH,2020,0.450
JH,2025,0.491
JH,2030,0.582
JH,2035,0.661
JH,2040,0.737
JH,2045,0.799
JH,2050,0.839
JH,2055,0.859
JH,2060,0.882
JH,2065,0.887
JH,2070,0.879
JH,2075,0.836
JH,2080,0.787
JH,2085,0.732
JH,2090,0.669
JH,2095,0.603
JH,2100,0.540
JK,1975,0.500
JK,1990,0.500
JK,2005,0.500
JK,2010,0.360
JK,2015,0.346
JK,2020,0.317
JK,2025,0.301
JK,2030,0.307
JK,2035,0.331
JK,2040,0.374
JK,2045,0.439
JK,2050,0.523
JK,2055,0.581
JK,2060,0.610
JK,2065,0.614
JK,2070,0.586
JK,2075,0.557
JK,2080,0.524
JK,2085,0.488
JK,2090,0.446
JK,2095,0.402
JK,2100,0.360
KA,1975,0.500
KA,1990,0.500
KA,2005,0.500
KA,2010,0.370
KA,2015,0.475
KA,2020,0.450
KA,2025,0.443
KA,2030,0.463
KA,2035,0.478
KA,2040,0.494
KA,2045,0.509
KA,2050,0.526
KA,2055,0.512
KA,2060,0.480
KA,2065,0.445
KA,2070,0.416
KA,2075,0.396
KA,2080,0.373
KA,2085,0.347
KA,2090,0.317
KA,2095,0.286
KA,2100,0.256
KL,1975,0.500
KL,1990,0.500
KL,2005,0.500
KL,2010,0.570
KL,2015,0.649
KL,2020,0.598
KL,2025,0.572
KL,2030,0.587
KL,2035,0.603
KL,2040,0.621
KL,2045,0.636
KL,2050,0.658
KL,2055,0.639
KL,2060,0.600
KL,2065,0.557
KL,2070,0.520
KL,2075,0.495
KL,2080,0.466
KL,2085,0.433
KL,2090,0.396
KL,2095,0.357
KL,2100,0.320
LA,1975,0.500
LA,1990,0.500
LA,2005,0.500
LA,2010,0.660
LA,2015,0.650
LA,2020,0.625
LA,2025,0.624
LA,2030,0.659
LA,2035,0.674
LA,2040,0.681
LA,2045,0.643
LA,2050,0.589
LA,2055,0.509
LA,2060,0.445
LA,2065,0.392
LA,2070,0.350
LA,2075,0.320
LA,2080,0.295
LA,2085,0.270
LA,2090,0.243
LA,2095,0.215
LA,2100,0.190
LD,1975,0.500
LD,1990,0.500
LD,2005,0.500
LD,2010,0.150
LD,2015,0.148
LD,2020,0.142
LD,2025,0.142
LD,2030,0.150
LD,2035,0.153
LD,2040,0.155
LD,2045,0.146
LD,2050,0.134
