# File: A10.SE_PopP_IIASA_2005_2100.csv
# Title: 2005-2100 population projections by state
# Units: Persons
# Source: Interpolation from the IIASA estimates
# Column types: cciiiiiiiiiiiiiiiiiiii
# ----------
state,state_name,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AP,Andhra Pradesh,41370368,43546828,45367504,48594595,49895110,50996648,51852964,52348689,52494501,52357981,52078591,51555670,50768264,49730082,48486122,47100836,45626208,44110674,42574808,41042303
AR,Arunachal Pradesh,1212400,1355400,1496400,1688870,1816134,1934360,2045576,2143172,2225168,2293077,2328307,2346846,2353435,2348053,2332194,2308430,2278916,2245801,2209961,2172510
AS,Assam,28476000,30751000,32865000,36048026,37819093,39421707,40735364,41741758,42459057,42931248,43322308,43529266,43514296,43279090,42853143,42285322,41616290,40886091,40111174,39312081
BR,Bihar,91439000,101989000,110716600,122766389,130033920,136695807,142679967,147669017,151611769,154640695,156440106,157348699,157455416,156763921,155378733,153475120,151199275,148695732,146023722,143257641
CG,Chhattisgarh,22718400,25073900,26865600,29421720,30824515,32090926,33165666,34000920,34600434,34999788,35308626,35461237,35433020,35225596,34863204,34385790,33826560,33218156,32574001,31910819
DL,Delhi,15025800,16494300,18675200,21702018,23902995,25973218,28156713,30203761,32019865,33615492,34982777,36176555,37188070,38003150,38632922,39109253,39460854,39719660,39897884,40013456
GA,Goa,1392400,1447900,1546400,1708216,1803361,1890235,1977531,2053437,2114687,2163015,2197028,2219389,2230460,2230147,2219799,2201807,2178185,2150960,2120953,2089221
GJ,Gujarat,54578600,59463100,63680600,69881764,73346407,76483685,79145724,81231830,82753235,83793475,84373442,84517412,84229933,83518217,82442917,81101115,79573053,77936816,76224708,74476404
HR,Haryana,22827400,24930400,27145600,30321921,32321441,34166085,36027379,37683206,39065718,40202521,41104742,41801090,42285385,42551660,42621723,42538239,42337785,42058155,41714440,41326781
HP,Himachal Pradesh,6392800,6786300,7135600,7711139,7982345,8220300,8444216,8615703,8728119,8791127,8826379,8820694,8769937,8675175,8543010,8383753,8205879,8017566,7822214,7623949
JH,Jharkhand,29362800,32383800,34880800,38429355,40476060,42339083,43976557,45303362,46312536,47048020,47433127,47551325,47426859,47063221,46494047,45773642,44946962,44057893,43124558,42169308
KA,Karnataka,56148600,60270600,63391400,68365660,70638964,72620864,74275478,75419191,76051696,76263397,76276988,75942854,75220055,74122137,72709673,71073862,69289111,67426194,65514797,63590184
KL,Kerala,32467000,33249500,34129600,36146403,36721790,37159305,37227224,36989162,36513561,35857702,35266134,34543587,33643035,32579336,31387519,30113951,28795316,27464556,26135989,24825176
MP,Madhya Pradesh,65259600,71399100,77142200,85414593,90357310,94881591,98902713,102225944,104827015,106799743,108246594,109160390,109518491,109319115,108631061,107573493,106246421,104749745,103124150,101421486
MH,Maharashtra,103077000,110824500,118274000,129638251,135922918,141603973,147103492,151704183,155238643,157851461,159645733,160638225,160812216,160170454,158818797,156935619,154669847,152168953,149493311,146718927
