# File: A10.SE_SGDP_MOSPI_11INR.csv
# Title: State-wise Gross State Domestic Product (GSDP) for the base year 2011-12
# Units: INR Crores
#The raw data is available in different price series but for uniformity all the GDP values are converted into 2011-12 base price year
# Source: Ministry of Statistics and Programme Implementation (MoSPI), GoI. Link: http://mospi.nic.in/data
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
#------------
state,state_name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AN,Andaman and Nicobar Island,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932
AP,Andhra Pradesh,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79
AR,Arunachal Pradesh,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54
AS,Assam,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452
BR,Bihar,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531
CG,Chhattisgarh,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65
CH,Chandigarh,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314
DD,Daman and Diu,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653
DL,Delhi,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902
DN,Dadra and Nagar Haveli,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081
GA,Goa,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655
GJ,Gujarat,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435
HP,Himachal Pradesh,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335
HR,Haryana,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323
JH,Jharkhand,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5
JK,Jammu and Kashmir,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929
KA,Karnataka,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374
KL,Kerala,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107
LA,Ladakh,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039
LD,Lakshadweep,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806
MH,Maharashtra,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951
