# File: A44.india_state_demand_satiation_mult.csv
# Title: India Demand Satiation Multipliers
# Units: Increase in demand per unit floorspace
# Source: None (GCAM assumptions)
# Column types: cn
# ----------
supplysector,multiplier
resid rural cooling,40
resid urban cooling,60
resid rural coolers,1.0000001
resid urban coolers,1.0000001
resid rural lighting,1.1
resid urban lighting,1.05
resid rural space heating,1.0000001
resid urban space heating,1.0000001
resid rural cooking,1.5
resid urban cooking,1.000001
resid rural apploth,1.4
resid urban apploth,1.1
comm hvac,1.01
comm lighting,1.01
comm ref,1.001
comm others,1.0000001
comm cooking,1.2
