# File: A44.india_state_in_EJ_comm_F_Uoth_Y.csv
# Title: State-wise apploth energy demand in India
# Units: EJ/yr
# Comments: commential apploth energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AN,comm,electricity,comm lighting,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.00041868,0.000447173
AP,comm,electricity,comm lighting,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00711756,0.00713816
AR,comm,electricity,comm lighting,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.000107745
AS,comm,electricity,comm lighting,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.00083736,0.000826561
BR,comm,electricity,comm lighting,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.001097171
CG,comm,electricity,comm lighting,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.0010467,0.001066655
CH,comm,electricity,comm lighting,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,1.05E-07,3.14E-05
DD,comm,electricity,comm lighting,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.00020934,0.000195002
DL,comm,electricity,comm lighting,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.00648954,0.006463433
DN,comm,electricity,comm lighting,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.00010467,0.000137241
