# File: A44.india_state_in_EJ_comm_F_cooking_Y.csv
# Title: State-wise cooking energy demand in India
# Units: EJ/yr
# Comments: commential cooking energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AN,comm,refined liquids,comm cooking,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,1.95E-05
AP,comm,refined liquids,comm cooking,0.00586152,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.00586,0.005787504
AR,comm,refined liquids,comm cooking,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,1.75E-05
AS,comm,refined liquids,comm cooking,0.00041868,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.000360331
BR,comm,refined liquids,comm cooking,0.00041868,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.000475587
CG,comm,refined liquids,comm cooking,0.00041868,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.000518869
CH,comm,refined liquids,comm cooking,0.00041868,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.000276247
DD,comm,refined liquids,comm cooking,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.000122284
DL,comm,refined liquids,comm cooking,0.00293076,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.00293,0.002776628
DN,comm,refined liquids,comm cooking,0.00041868,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,0.000229974
