# File: A44.india_state_in_EJ_res_F_apploth_Y.csv
# Title: State-wise apploth energy demand in India
# Units: EJ/yr
# Comments: Residential apploth energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AN,resid rural,electricity,resid rural apploth,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.000370288,0.00071734
AP,resid rural,electricity,resid rural apploth,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.008830559,0.009407902
AR,resid rural,electricity,resid rural apploth,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,5.67E-05,1.20E-04
AS,resid rural,electricity,resid rural apploth,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000114432,0.000220014
BR,resid rural,electricity,resid rural apploth,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000134914,0.000396504
CG,resid rural,electricity,resid rural apploth,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.000782241,0.001760845
CH,resid rural,electricity,resid rural apploth,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.50E-05,6.28E-05
DD,resid rural,electricity,resid rural apploth,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000349272,0.000679988
DL,resid rural,electricity,resid rural apploth,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,6.03E-03,1.21E-02
DN,resid rural,electricity,resid rural apploth,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,9.17E-05,1.11E-04
