# File: A44.india_state_subregional_pop_share.csv
# Title: Subregional pop share
# Units: Share
# Source: Census of India; IIASA
# Column types: ccnn
# ----------
region,gcam.consumer,pop.year.fillout,subregional.population.share
AN,comm,1975,1.00000
AP,comm,1975,1.00000
AR,comm,1975,1.00000
AS,comm,1975,1.00000
BR,comm,1975,1.00000
CG,comm,1975,1.00000
CH,comm,1975,1.00000
DD,comm,1975,1.00000
DL,comm,1975,1.00000
DN,comm,1975,1.00000
GA,comm,1975,1.00000
GJ,comm,1975,1.00000
HP,comm,1975,1.00000
HR,comm,1975,1.00000
JH,comm,1975,1.00000
JK,comm,1975,1.00000
KA,comm,1975,1.00000
KL,comm,1975,1.00000
LA,comm,1975,1.00000
LD,comm,1975,1.00000
MH,comm,1975,1.00000
ML,comm,1975,1.00000
MN,comm,1975,1.00000
MP,comm,1975,1.00000
MZ,comm,1975,1.00000
NL,comm,1975,1.00000
OD,comm,1975,1.00000
PB,comm,1975,1.00000
PC,comm,1975,1.00000
RJ,comm,1975,1.00000
SK,comm,1975,1.00000
TN,comm,1975,1.00000
TR,comm,1975,1.00000
TS,comm,1975,1.00000
UK,comm,1975,1.00000
UP,comm,1975,1.00000
WB,comm,1975,1.00000
AN,comm,1990,1.00000
AP,comm,1990,1.00000
AR,comm,1990,1.00000
AS,comm,1990,1.00000
BR,comm,1990,1.00000
CG,comm,1990,1.00000
CH,comm,1990,1.00000
DD,comm,1990,1.00000
DL,comm,1990,1.00000
DN,comm,1990,1.00000
GA,comm,1990,1.00000
GJ,comm,1990,1.00000
HP,comm,1990,1.00000
HR,comm,1990,1.00000
JH,comm,1990,1.00000
JK,comm,1990,1.00000
KA,comm,1990,1.00000
KL,comm,1990,1.00000
LA,comm,1990,1.00000
LD,comm,1990,1.00000
MH,comm,1990,1.00000
ML,comm,1990,1.00000
MN,comm,1990,1.00000
MP,comm,1990,1.00000
MZ,comm,1990,1.00000
NL,comm,1990,1.00000
OD,comm,1990,1.00000
PB,comm,1990,1.00000
PC,comm,1990,1.00000
RJ,comm,1990,1.00000
SK,comm,1990,1.00000
TN,comm,1990,1.00000
TR,comm,1990,1.00000
TS,comm,1990,1.00000
UK,comm,1990,1.00000
UP,comm,1990,1.00000
WB,comm,1990,1.00000
AN,comm,2005,1.00000
AP,comm,2005,1.00000
AR,comm,2005,1.00000
AS,comm,2005,1.00000
BR,comm,2005,1.00000
CG,comm,2005,1.00000
CH,comm,2005,1.00000
DD,comm,2005,1.00000
DL,comm,2005,1.00000
DN,comm,2005,1.00000
GA,comm,2005,1.00000
GJ,comm,2005,1.00000
HP,comm,2005,1.00000
HR,comm,2005,1.00000
JH,comm,2005,1.00000
JK,comm,2005,1.00000
KA,comm,2005,1.00000
KL,comm,2005,1.00000
LA,comm,2005,1.00000
LD,comm,2005,1.00000
MH,comm,2005,1.00000
ML,comm,2005,1.00000
MN,comm,2005,1.00000
MP,comm,2005,1.00000
MZ,comm,2005,1.00000
NL,comm,2005,1.00000
OD,comm,2005,1.00000
PB,comm,2005,1.00000
PC,comm,2005,1.00000
RJ,comm,2005,1.00000
SK,comm,2005,1.00000
TN,comm,2005,1.00000
TR,comm,2005,1.00000
TS,comm,2005,1.00000
UK,comm,2005,1.00000
UP,comm,2005,1.00000
WB,comm,2005,1.00000
AN,comm,2010,1.00000
AP,comm,2010,1.00000
AR,comm,2010,1.00000
AS,comm,2010,1.00000
BR,comm,2010,1.00000
CG,comm,2010,1.00000
CH,comm,2010,1.00000
DD,comm,2010,1.00000
DL,comm,2010,1.00000
DN,comm,2010,1.00000
GA,comm,2010,1.00000
GJ,comm,2010,1.00000
HP,comm,2010,1.00000
HR,comm,2010,1.00000
JH,comm,2010,1.00000
JK,comm,2010,1.00000
KA,comm,2010,1.00000
KL,comm,2010,1.00000
LA,comm,2010,1.00000
LD,comm,2010,1.00000
MH,comm,2010,1.00000
ML,comm,2010,1.00000
MN,comm,2010,1.00000
MP,comm,2010,1.00000
MZ,comm,2010,1.00000
NL,comm,2010,1.00000
OD,comm,2010,1.00000
PB,comm,2010,1.00000
PC,comm,2010,1.00000
RJ,comm,2010,1.00000
SK,comm,2010,1.00000
TN,comm,2010,1.00000
TR,comm,2010,1.00000
TS,comm,2010,1.00000
UK,comm,2010,1.00000
UP,comm,2010,1.00000
WB,comm,2010,1.00000
AN,comm,2015,1.00000
AP,comm,2015,1.00000
AR,comm,2015,1.00000
AS,comm,2015,1.00000
BR,comm,2015,1.00000
CG,comm,2015,1.00000
CH,comm,2015,1.00000
DD,comm,2015,1.00000
DL,comm,2015,1.00000
DN,comm,2015,1.00000
GA,comm,2015,1.00000
GJ,comm,2015,1.00000
HP,comm,2015,1.00000
HR,comm,2015,1.00000
JH,comm,2015,1.00000
JK,comm,2015,1.00000
KA,comm,2015,1.00000
KL,comm,2015,1.00000
LA,comm,2015,1.00000
