# File: A54.india_StubTranTechCoef.csv
# Title: Transport coefficient values for India - Have to update 3W, Bus and Truck electric
# Units: BTU/VKM
# Column types: ccccicnc
# ----------
region,supplysector,tranSubsector,stub.technology,year,minicam.energy.input,coefficient,market.name
India,trn_aviation_intl,Air International,Liquids,1975,refined liquids enduse,"4,52,826.81",India
India,trn_aviation_intl,Air International,Liquids,1990,refined liquids enduse,"4,52,826.81",India
India,trn_aviation_intl,Air International,Liquids,2005,refined liquids enduse,"4,52,826.81",India
India,trn_aviation_intl,Air International,Liquids,2010,refined liquids enduse,"4,31,703.70",India
India,trn_aviation_intl,Air International,Liquids,2015,refined liquids enduse,"4,10,580.60",India
India,trn_aviation_intl,Air International,Liquids,2020,refined liquids enduse,"3,89,457.49",India
India,trn_aviation_intl,Air International,Liquids,2025,refined liquids enduse,"3,76,474.56",India
India,trn_aviation_intl,Air International,Liquids,2030,refined liquids enduse,"3,63,491.62",India
India,trn_aviation_intl,Air International,Liquids,2035,refined liquids enduse,"3,50,508.69",India
India,trn_aviation_intl,Air International,Liquids,2040,refined liquids enduse,"3,43,691.43",India
India,trn_aviation_intl,Air International,Liquids,2045,refined liquids enduse,"3,36,874.16",India
India,trn_aviation_intl,Air International,Liquids,2050,refined liquids enduse,"3,30,056.90",India
India,trn_aviation_intl,Air International,Liquids,2055,refined liquids enduse,"3,30,056.90",India
India,trn_aviation_intl,Air International,Liquids,2060,refined liquids enduse,"3,30,056.90",India
India,trn_aviation_intl,Air International,Liquids,2065,refined liquids enduse,"3,30,056.90",India
India,trn_aviation_intl,Air International,Liquids,2070,refined liquids enduse,"3,30,056.90",India
India,trn_aviation_intl,Air International,Liquids,2075,refined liquids enduse,"3,30,056.90",India
India,trn_aviation_intl,Air International,Liquids,2080,refined liquids enduse,"3,30,056.90",India
India,trn_aviation_intl,Air International,Liquids,2085,refined liquids enduse,"3,30,056.90",India
India,trn_aviation_intl,Air International,Liquids,2090,refined liquids enduse,"3,30,056.90",India
India,trn_aviation_intl,Air International,Liquids,2095,refined liquids enduse,"3,30,056.90",India
India,trn_aviation_intl,Air International,Liquids,2100,refined liquids enduse,"3,30,056.90",India
India,trn_freight,Freight Rail,Coal,1975,delivered coal,"23,96,020.44",India
India,trn_freight,Freight Rail,Coal,1990,delivered coal,"23,96,020.44",India
India,trn_freight,Freight Rail,Coal,2005,delivered coal,"23,96,020.44",India
India,trn_freight,Freight Rail,Coal,2010,delivered coal,"23,93,030.65",India
India,trn_freight,Freight Rail,Coal,2015,delivered coal,"23,90,040.85",India
India,trn_freight,Freight Rail,Coal,2020,delivered coal,"23,87,051.06",India
India,trn_freight,Freight Rail,Coal,2025,delivered coal,"23,84,072.45",India
India,trn_freight,Freight Rail,Coal,2030,delivered coal,"23,81,093.84",India
India,trn_freight,Freight Rail,Coal,2035,delivered coal,"23,78,115.23",India
India,trn_freight,Freight Rail,Coal,2040,delivered coal,"23,75,147.80",India
India,trn_freight,Freight Rail,Coal,2045,delivered coal,"23,72,180.38",India
India,trn_freight,Freight Rail,Coal,2050,delivered coal,"23,69,212.95",India
India,trn_freight,Freight Rail,Coal,2055,delivered coal,"23,66,256.61",India
India,trn_freight,Freight Rail,Coal,2060,delivered coal,"23,63,300.27",India
India,trn_freight,Freight Rail,Coal,2065,delivered coal,"23,60,343.94",India
India,trn_freight,Freight Rail,Coal,2070,delivered coal,"23,57,398.66",India
India,trn_freight,Freight Rail,Coal,2075,delivered coal,"23,54,453.38",India
India,trn_freight,Freight Rail,Coal,2080,delivered coal,"23,51,508.10",India
India,trn_freight,Freight Rail,Coal,2085,delivered coal,"23,48,573.84",India
India,trn_freight,Freight Rail,Coal,2090,delivered coal,"23,45,639.59",India
