# File: A54.india_state_StubTranTechCost.csv
# Title: Non-energy sub technology transport cost at state level
# Units: 1990$/pkm or 1990$/tkm
# Column types: ccccnnnnnnnnnnnnnnnnnnn
# ----------
region,supplysector,tranSubsector,stub.technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AN,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010006626,0.010277407,0.010555516,0.010841151,0.011126786,0.011412421,0.011729793,0.012078902,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274
AP,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010438508,0.010723883,0.011017061,0.011318253,0.011619446,0.011920638,0.012255297,0.012623421,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079,0.012958079
AR,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010152801,0.010428522,0.010711731,0.011002632,0.011293532,0.011584433,0.011907656,0.012263201,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424,0.012586424
AS,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010205955,0.010483473,0.010768537,0.011061352,0.011354167,0.011646983,0.011972333,0.012330218,0.012655569,0.012655569,0.012655569,0.012655569,0.012655569,0.012655569,0.012655569,0.012655569,0.012655569,0.012655569,0.012655569
BR,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.01030562,0.010586506,0.010875047,0.011171453,0.011467858,0.011764264,0.012093603,0.012455877,0.012785216,0.012785216,0.012785216,0.012785216,0.012785216,0.012785216,0.012785216,0.012785216,0.012785216,0.012785216,0.012785216
CG,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.01010629,0.01038044,0.010662027,0.010951252,0.011240477,0.011529702,0.011851063,0.01220456,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921,0.012525921
CH,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010039847,0.010311751,0.01059102,0.010877851,0.011164683,0.011451514,0.011770216,0.012120788,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949,0.01243949
DD,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010006626,0.010277407,0.010555516,0.010841151,0.011126786,0.011412421,0.011729793,0.012078902,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274
DL,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010604618,0.010895605,0.011194578,0.011501754,0.01180893,0.012116107,0.012457414,0.012832851,0.013174158,0.013174158,0.013174158,0.013174158,0.013174158,0.013174158,0.013174158,0.013174158,0.013174158,0.013174158,0.013174158
DN,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.010006626,0.010277407,0.010555516,0.010841151,0.011126786,0.011412421,0.011729793,0.012078902,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274,0.012396274
