INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
AN,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.92695802
AP,elect_td_res,elect_td_res,elect_td_res,2010,tax,-14.39544043
AR,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.30480086
AS,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.51400188
BR,elect_td_res,elect_td_res,elect_td_res,2010,tax,-12.50901927
CG,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.6161268
CH,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.18595802
DD,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.78625802
DL,elect_td_res,elect_td_res,elect_td_res,2010,tax,-11.62849376
DN,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.78625802
GA,elect_td_res,elect_td_res,elect_td_res,2010,tax,-15.59803116
GJ,elect_td_res,elect_td_res,elect_td_res,2010,tax,-12.19576202
HP,elect_td_res,elect_td_res,elect_td_res,2010,tax,-14.93166768
HR,elect_td_res,elect_td_res,elect_td_res,2010,tax,-11.23211289
JH,elect_td_res,elect_td_res,elect_td_res,2010,tax,-14.52395536
JK,elect_td_res,elect_td_res,elect_td_res,2010,tax,-15.30602739
KA,elect_td_res,elect_td_res,elect_td_res,2010,tax,-12.95305448
KL,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.84491144
LA,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.18595802
LD,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.92695802
MH,elect_td_res,elect_td_res,elect_td_res,2010,tax,-11.48007434
ML,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.2277268
MN,elect_td_res,elect_td_res,elect_td_res,2010,tax,-14.05352028
MP,elect_td_res,elect_td_res,elect_td_res,2010,tax,-12.30586782
MZ,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.80027695
NL,elect_td_res,elect_td_res,elect_td_res,2010,tax,-14.93436666
OD,elect_td_res,elect_td_res,elect_td_res,2010,tax,-11.99152202
PB,elect_td_res,elect_td_res,elect_td_res,2010,tax,-12.2560968
PC,elect_td_res,elect_td_res,elect_td_res,2010,tax,-15.36437144
RJ,elect_td_res,elect_td_res,elect_td_res,2010,tax,-12.24508622
SK,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.22470695
TN,elect_td_res,elect_td_res,elect_td_res,2010,tax,-14.89091652
TR,elect_td_res,elect_td_res,elect_td_res,2010,tax,-11.98353129
TS,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.93299608
UK,elect_td_res,elect_td_res,elect_td_res,2010,tax,-13.68747217
