INPUT_TABLE,,,
Variable ID,,,
IncomeElasticity,,,
,,,
region,energy.final.demand,year,income.elasticity
AN,Agriculture,2015,0.3
AN,Agriculture,2020,0.3
AN,Agriculture,2025,0.3
AN,Agriculture,2030,0.3
AN,Agriculture,2035,0.3
AN,Agriculture,2040,0.3
AN,Agriculture,2045,0.3
AN,Agriculture,2050,0.3
AN,Agriculture,2055,0.3
AN,Agriculture,2060,0.3
AN,Agriculture,2065,0.3
AN,Agriculture,2070,0.3
AN,Agriculture,2075,0.3
AN,Agriculture,2080,0.3
AN,Agriculture,2085,0.3
AN,Agriculture,2090,0.3
AN,Agriculture,2095,0.3
AN,Agriculture,2100,0.3
AP,Agriculture,2015,0.3
AP,Agriculture,2020,0.3
AP,Agriculture,2025,0.3
AP,Agriculture,2030,0.3
AP,Agriculture,2035,0.3
AP,Agriculture,2040,0.3
AP,Agriculture,2045,0.3
AP,Agriculture,2050,0.3
AP,Agriculture,2055,0.3
AP,Agriculture,2060,0.3
AP,Agriculture,2065,0.3
AP,Agriculture,2070,0.3
AP,Agriculture,2075,0.3
AP,Agriculture,2080,0.3
AP,Agriculture,2085,0.3
AP,Agriculture,2090,0.3
AP,Agriculture,2095,0.3
AP,Agriculture,2100,0.3
AR,Agriculture,2015,0.3
AR,Agriculture,2020,0.3
AR,Agriculture,2025,0.3
AR,Agriculture,2030,0.3
AR,Agriculture,2035,0.3
AR,Agriculture,2040,0.3
AR,Agriculture,2045,0.3
AR,Agriculture,2050,0.3
AR,Agriculture,2055,0.3
AR,Agriculture,2060,0.3
AR,Agriculture,2065,0.3
AR,Agriculture,2070,0.3
AR,Agriculture,2075,0.3
AR,Agriculture,2080,0.3
AR,Agriculture,2085,0.3
AR,Agriculture,2090,0.3
AR,Agriculture,2095,0.3
AR,Agriculture,2100,0.3
AS,Agriculture,2015,0.3
AS,Agriculture,2020,0.3
AS,Agriculture,2025,0.3
AS,Agriculture,2030,0.3
AS,Agriculture,2035,0.3
AS,Agriculture,2040,0.3
AS,Agriculture,2045,0.3
AS,Agriculture,2050,0.3
AS,Agriculture,2055,0.3
AS,Agriculture,2060,0.3
AS,Agriculture,2065,0.3
AS,Agriculture,2070,0.3
AS,Agriculture,2075,0.3
AS,Agriculture,2080,0.3
AS,Agriculture,2085,0.3
AS,Agriculture,2090,0.3
AS,Agriculture,2095,0.3
AS,Agriculture,2100,0.3
BR,Agriculture,2015,0.3
BR,Agriculture,2020,0.3
BR,Agriculture,2025,0.3
BR,Agriculture,2030,0.3
BR,Agriculture,2035,0.3
BR,Agriculture,2040,0.3
BR,Agriculture,2045,0.3
BR,Agriculture,2050,0.3
