INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndTechInterp_new,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
AN,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
AP,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
AR,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
AS,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
BR,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
CG,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
CH,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
DD,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
DL,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
DN,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
GA,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
GJ,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
HP,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
HR,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
JH,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
JK,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
KA,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
KL,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
LA,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
LD,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
MH,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
ML,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
MN,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
MP,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
MZ,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
NL,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
OD,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
PB,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
PC,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
RJ,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
SK,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
TN,Cement_enuse,hydrogen,share-weight,2010,2100,0,0,fixed
