INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
IndiaTranTechInterp_new,,,,,,,,,
,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,apply.to,from.year,to.year,from.value,to-value,interpolation.function
AN,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
AP,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
AR,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
AS,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
BR,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
CG,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
CH,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
DD,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
DL,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
DN,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
GA,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
GJ,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
HP,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
HR,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
JH,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
JK,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
KA,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
KL,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
LA,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
LD,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
MH,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
ML,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
MN,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
MP,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
MZ,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
NL,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
OD,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
PB,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
PC,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
RJ,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
SK,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
TN,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
TR,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
TS,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
UK,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
UP,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
WB,trn_pass_road,Bus,Electric,share-weight,2010,2015,0,0,fixed
AN,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
AP,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
AR,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
AS,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
BR,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
CG,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
CH,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
DD,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
DL,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
DN,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
GA,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
GJ,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
HP,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
HR,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
JH,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
JK,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
KA,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
KL,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
LA,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
LD,trn_pass_road,Bus,Electric,share-weight,2015,2100,0,1,linear
